,FC,p value
a.IgG.CoV.2.S.S,-0.055842797,0.869520925
a.IgG.CoV.2.S.S1,-0.066909051,1.332544973
a.IgG.CoV.2.S.RBD,-0.062353112,1.299799958
a.IgG.CoV.2.S.S2,-0.055079297,0.997391209
a.IgG.CoV.2.N.N,-0.044620341,0.797600588
a.IgG.CoV.2.FP.FP,-0.022778059,0.254208945
a.IgG.non.CoV.2.S.WIV1,-0.051839303,0.722887958
a.IgG.non.CoV.2.S.SARS.CoV.1,-0.021770753,0.58182767
a.IgG.non.CoV.2.S.MERS.S,-0.028549033,0.522424787
a.IgG.non.CoV.2.S.MERS.S1,-0.015143434,1.184216838
a.IgG.non.CoV.2.S.OC43.S,0.024262523,0.533147373
a.IgG.non.CoV.2.S.OC43.S.1,0.00295663,0.047743183
a.IgG.non.CoV.2.S.HKU1.S,0.012282894,0.216502522
a.IgG.non.CoV.2.S.HKU1.S1,0.016992532,0.239017271
a.IgG.non.CoV.2.S.229E.S,0.005819709,0.092352508
a.IgG.non.CoV.2.S.229E.S1,-0.009171198,0.150254033
a.IgG.non.CoV.2.S.NL63,-0.000522976,0.006053511
a.IgG.non.CoV.2.HA.HA,0.05294814,1.074568747
a.IgG.non.CoV.2.gE.gE,-0.040787097,0.321686121
a.IgA.CoV.2.S.S,-0.014328786,0.214134103
a.IgA.CoV.2.S.S1,0.009951147,0.10315372
a.IgA.CoV.2.S.RBD,0.003056583,0.034078328
a.IgA.CoV.2.S.S2,-0.021213853,0.300971544
a.IgA.CoV.2.N.N,0.01867118,0.293507032
a.IgA.CoV.2.FP.FP,0.032575214,0.703979618
a.IgA.non.CoV.2.S.WIV1,-0.004478218,0.046675128
a.IgA.non.CoV.2.S.SARS.CoV.1,0.034817461,0.642473875
a.IgA.non.CoV.2.S.MERS.S,-0.02534698,0.757838858
a.IgA.non.CoV.2.S.MERS.S1,-0.009241792,0.190712614
a.IgA.non.CoV.2.S.OC43.S,-0.02010597,0.397648499
a.IgA.non.CoV.2.S.OC43.S.1,-0.00919182,0.233666974
a.IgA.non.CoV.2.S.HKU1.S,-0.031385962,0.633924276
a.IgA.non.CoV.2.S.HKU1.S1,-0.023663414,0.353558074
a.IgA.non.CoV.2.S.229E.S,-0.002531856,0.031638566
a.IgA.non.CoV.2.S.229E.S1,0.008153076,0.086510068
a.IgA.non.CoV.2.S.NL63,0.010802636,0.14155235
a.IgA.non.CoV.2.HA.HA,0.045061194,1.3033964
a.IgA.non.CoV.2.gE.gE,-0.028925079,0.563188273
a.IgA1.CoV.2.S.S,-0.021244497,0.281999533
a.IgA1.CoV.2.S.S1,-0.003856332,0.034009063
a.IgA1.CoV.2.S.RBD,-0.005482111,0.054099961
a.IgA1.CoV.2.S.S2,-0.01725376,0.214020621
a.IgA1.CoV.2.N.N,0.009820843,0.13423035
a.IgA1.CoV.2.FP.FP,0.035815263,0.658288125
a.IgA1.non.CoV.2.S.WIV1,-0.003290675,0.030014521
a.IgA1.non.CoV.2.S.SARS.CoV.1,0.023177307,0.411667958
a.IgA1.non.CoV.2.S.MERS.S,-0.013847375,0.409612074
a.IgA1.non.CoV.2.S.MERS.S1,-0.009967271,0.252319962
a.IgA1.non.CoV.2.S.OC43.S,-0.023978372,0.393116343
a.IgA1.non.CoV.2.S.OC43.S.1,-0.006817405,0.129128016
a.IgA1.non.CoV.2.S.HKU1.S,-0.039354266,0.717440651
a.IgA1.non.CoV.2.S.HKU1.S1,-0.02779663,0.444693109
a.IgA1.non.CoV.2.S.229E.S,0.003834814,0.038136361
a.IgA1.non.CoV.2.S.229E.S1,0.009844753,0.09725193
a.IgA1.non.CoV.2.S.NL63,0.012344888,0.162370391
a.IgA1.non.CoV.2.HA.HA,0.031678856,1.660982657
a.IgA1.non.CoV.2.gE.gE,-0.035065067,0.780554509
a.IgA2.CoV.2.S.S,0.014913672,0.133352551
a.IgA2.CoV.2.S.S1,0.036076558,0.393848607
a.IgA2.CoV.2.S.RBD,0.023163922,0.311523809
a.IgA2.CoV.2.S.S2,-0.007463722,0.181646416
a.IgA2.CoV.2.N.N,0.013001723,0.141735407
a.IgA2.CoV.2.FP.FP,0.044420704,0.687450419
a.IgA2.non.CoV.2.S.WIV1,0.025232552,0.259950968
a.IgA2.non.CoV.2.S.SARS.CoV.1,0.022156032,0.654044964
a.IgA2.non.CoV.2.S.MERS.S,-0.018615443,0.859824587
a.IgA2.non.CoV.2.S.MERS.S1,-3.23E-03,0.122456866
a.IgA2.non.CoV.2.S.OC43.S,-0.034520878,0.419163416
a.IgA2.non.CoV.2.S.OC43.S.1,-0.008431158,0.097925604
a.IgA2.non.CoV.2.S.HKU1.S,-0.0258416,0.448398726
a.IgA2.non.CoV.2.S.HKU1.S1,-0.00773465,0.151923775
a.IgA2.non.CoV.2.S.229E.S,-0.012733202,0.186362782
a.IgA2.non.CoV.2.S.229E.S1,0.007899041,0.057397641
a.IgA2.non.CoV.2.S.NL63,0.02302385,0.747036819
a.IgA2.non.CoV.2.HA.HA,0.001332833,0.065630199
a.IgA2.non.CoV.2.gE.gE,-0.016690238,0.711812915
a.IgD.CoV.2.S.S,-0.005954876,0.553235289
a.IgD.CoV.2.S.S1,6.19E-03,0.364983085
a.IgD.CoV.2.S.RBD,-0.004658245,0.304752526
a.IgD.CoV.2.S.S2,-0.00081873,0.078601516
a.IgD.CoV.2.N.N,0.011198559,0.323731488
a.IgD.CoV.2.FP.FP,0.01116316,0.887237713
a.IgD.non.CoV.2.S.WIV1,4.82E-03,0.299655996
a.IgD.non.CoV.2.S.SARS.CoV.1,0.003462612,0.338274433
a.IgD.non.CoV.2.S.MERS.S,-0.002499448,0.272757495
a.IgD.non.CoV.2.S.MERS.S1,-0.005124469,0.711815925
a.IgD.non.CoV.2.S.OC43.S,0.004804143,0.192174053
a.IgD.non.CoV.2.S.OC43.S.1,0.006258627,0.381954411
a.IgD.non.CoV.2.S.HKU1.S,-0.000758747,0.055571065
a.IgD.non.CoV.2.S.HKU1.S1,-0.001383087,0.108145428
a.IgD.non.CoV.2.S.229E.S,-0.00815822,0.626958674
a.IgD.non.CoV.2.S.229E.S1,-0.001431207,0.156103111
a.IgD.non.CoV.2.S.NL63,-0.002962834,0.231228043
a.IgD.non.CoV.2.HA.HA,-0.004075087,0.271331184
a.IgD.non.CoV.2.gE.gE,0.004600411,0.412304086
a.IgM.CoV.2.S.S,-0.009720252,0.082945552
a.IgM.CoV.2.S.S1,-0.003394027,0.02816995
