,FC,p value
a.IgG.CoV.2.S.S,0.234457967,8.107897162
a.IgG.CoV.2.S.S1,0.193100059,7.479804803
a.IgG.CoV.2.S.RBD,0.132606256,5.942775927
a.IgG.CoV.2.S.S2,0.147346681,6.210804554
a.IgG.CoV.2.N.N,0.161611925,7.088400971
a.IgG.CoV.2.FP.FP,0.106646311,4.015847827
a.IgG.non.CoV.2.S.WIV1,0.178957527,6.375968115
a.IgG.non.CoV.2.S.SARS.CoV.1,0.012117454,0.429550856
a.IgG.non.CoV.2.S.MERS.S,0.033824944,1.387474299
a.IgG.non.CoV.2.S.MERS.S1,0.007708288,0.864798163
a.IgG.non.CoV.2.S.OC43.S,-0.007478065,0.213006098
a.IgG.non.CoV.2.S.OC43.S.1,0.04788491,2.714238894
a.IgG.non.CoV.2.S.HKU1.S,0.002113108,0.037700511
a.IgG.non.CoV.2.S.HKU1.S1,-0.03011581,0.833711762
a.IgG.non.CoV.2.S.229E.S,-0.009693279,0.252190356
a.IgG.non.CoV.2.S.229E.S1,-0.020979856,0.608456485
a.IgG.non.CoV.2.S.NL63,-0.032717886,1.040033877
a.IgG.non.CoV.2.HA.HA,-0.035093972,0.930639814
a.IgG.non.CoV.2.gE.gE,0.064697214,0.979273523
a.IgA.CoV.2.S.S,0.178212214,9.24608581
a.IgA.CoV.2.S.S1,0.169047999,6.794812808
a.IgA.CoV.2.S.RBD,0.112877922,5.225405868
a.IgA.CoV.2.S.S2,0.123105006,5.659831319
a.IgA.CoV.2.N.N,0.047655194,1.570007647
a.IgA.CoV.2.FP.FP,0.017221665,0.448427043
a.IgA.non.CoV.2.S.WIV1,0.091827635,3.213506413
a.IgA.non.CoV.2.S.SARS.CoV.1,0.036974269,1.131746092
a.IgA.non.CoV.2.S.MERS.S,0.011514695,0.363013526
a.IgA.non.CoV.2.S.MERS.S1,0.010141748,0.286037956
a.IgA.non.CoV.2.S.OC43.S,0.012177479,0.266566361
a.IgA.non.CoV.2.S.OC43.S.1,0.040265799,1.3989667
a.IgA.non.CoV.2.S.HKU1.S,0.001239734,0.018615911
a.IgA.non.CoV.2.S.HKU1.S1,-0.004937904,0.066530494
a.IgA.non.CoV.2.S.229E.S,0.001281727,0.022494357
a.IgA.non.CoV.2.S.229E.S1,0.00171077,0.022713939
a.IgA.non.CoV.2.S.NL63,-0.020142082,0.396294361
a.IgA.non.CoV.2.HA.HA,-0.009137622,0.176366424
a.IgA.non.CoV.2.gE.gE,-0.021203366,0.410813689
a.IgA1.CoV.2.S.S,0.179196724,7.696559428
a.IgA1.CoV.2.S.S1,0.158145922,5.68777543
a.IgA1.CoV.2.S.RBD,0.114677853,4.642196995
a.IgA1.CoV.2.S.S2,0.105070997,4.619823283
a.IgA1.CoV.2.N.N,0.040565868,1.242903599
a.IgA1.CoV.2.FP.FP,0.015362919,0.369152165
a.IgA1.non.CoV.2.S.WIV1,0.085956737,2.705130294
a.IgA1.non.CoV.2.S.SARS.CoV.1,0.029631899,1.032528577
a.IgA1.non.CoV.2.S.MERS.S,0.011478996,0.45011083
a.IgA1.non.CoV.2.S.MERS.S1,0.003295939,0.09612986
a.IgA1.non.CoV.2.S.OC43.S,0.010124032,0.177321512
a.IgA1.non.CoV.2.S.OC43.S.1,0.041657581,1.197213177
a.IgA1.non.CoV.2.S.HKU1.S,-0.006989208,0.10244344
a.IgA1.non.CoV.2.S.HKU1.S1,-0.012581432,0.187028182
a.IgA1.non.CoV.2.S.229E.S,-0.006090345,0.093950363
a.IgA1.non.CoV.2.S.229E.S1,-0.003463969,0.044156328
a.IgA1.non.CoV.2.S.NL63,-0.025067552,0.510365731
a.IgA1.non.CoV.2.HA.HA,-0.006743809,0.176056753
a.IgA1.non.CoV.2.gE.gE,-0.027798561,0.599325903
a.IgA2.CoV.2.S.S,0.1526061,5.005979576
a.IgA2.CoV.2.S.S1,0.091359958,2.973813578
a.IgA2.CoV.2.S.RBD,0.063256959,2.571948365
a.IgA2.CoV.2.S.S2,0.032195443,2.574296544
a.IgA2.CoV.2.N.N,0.033424171,0.778513008
