,FC,p value
a.IgG.CoV.2.S.S,0.251263007,10.31157558
a.IgG.CoV.2.S.S1,0.230835026,8.304463459
a.IgG.CoV.2.S.RBD,0.174070752,6.947511974
a.IgG.CoV.2.S.S2,0.188540885,8.442203957
a.IgG.CoV.2.N.N,0.196563748,10.59245994
a.IgG.CoV.2.FP.FP,0.12732576,5.562010194
a.IgG.non.CoV.2.S.WIV1,0.214321572,9.574390932
a.IgG.non.CoV.2.S.SARS.CoV.1,0.030635257,1.18405983
a.IgG.non.CoV.2.S.MERS.S,0.036851266,1.553203031
a.IgG.non.CoV.2.S.MERS.S1,0.013600867,3.053276109
a.IgG.non.CoV.2.S.OC43.S,0.013509915,0.763865487
a.IgG.non.CoV.2.S.OC43.S.1,0.062555982,6.680845051
a.IgG.non.CoV.2.S.HKU1.S,0.019876133,0.718736868
a.IgG.non.CoV.2.S.HKU1.S1,-0.015373674,0.444216046
a.IgG.non.CoV.2.S.229E.S,0.006734887,0.216929958
a.IgG.non.CoV.2.S.229E.S1,0.002737699,0.084669782
a.IgG.non.CoV.2.S.NL63,-0.009286826,0.297802285
a.IgG.non.CoV.2.HA.HA,-0.03073365,0.751172155
a.IgG.non.CoV.2.gE.gE,0.070906754,0.936099011
a.IgA.CoV.2.S.S,0.238196967,11.81516383
a.IgA.CoV.2.S.S1,0.219349345,10.57746517
a.IgA.CoV.2.S.RBD,0.163647099,9.015045163
a.IgA.CoV.2.S.S2,0.191489132,6.89778322
a.IgA.CoV.2.N.N,0.094387993,4.112102685
a.IgA.CoV.2.FP.FP,0.052565905,2.004311489
a.IgA.non.CoV.2.S.WIV1,0.208902195,7.742604107
a.IgA.non.CoV.2.S.SARS.CoV.1,0.048505214,2.306335303
a.IgA.non.CoV.2.S.MERS.S,0.061274495,1.799279855
a.IgA.non.CoV.2.S.MERS.S1,0.026244459,2.759775261
a.IgA.non.CoV.2.S.OC43.S,0.027880476,0.935966651
a.IgA.non.CoV.2.S.OC43.S.1,0.063723352,3.440748248
a.IgA.non.CoV.2.S.HKU1.S,0.022157704,0.52594164
a.IgA.non.CoV.2.S.HKU1.S1,0.01475514,0.330582137
a.IgA.non.CoV.2.S.229E.S,0.006641482,0.227547683
a.IgA.non.CoV.2.S.229E.S1,0.025121906,0.606368485
a.IgA.non.CoV.2.S.NL63,0.019320608,0.539182719
a.IgA.non.CoV.2.HA.HA,0.000277899,0.003166503
a.IgA.non.CoV.2.gE.gE,0.025330837,0.369922701
a.IgA1.CoV.2.S.S,0.214200735,10.63424933
a.IgA1.CoV.2.S.S1,0.17193704,8.309091899
a.IgA1.CoV.2.S.RBD,0.139601059,7.575250572
a.IgA1.CoV.2.S.S2,0.148365514,5.392852528
a.IgA1.CoV.2.N.N,0.085772671,3.685464819
a.IgA1.CoV.2.FP.FP,0.051171566,1.973989018
a.IgA1.non.CoV.2.S.WIV1,0.187236202,6.551710984
a.IgA1.non.CoV.2.S.SARS.CoV.1,0.041465937,2.00983227
a.IgA1.non.CoV.2.S.MERS.S,0.042356714,1.486791028
a.IgA1.non.CoV.2.S.MERS.S1,0.019509018,2.949872618
a.IgA1.non.CoV.2.S.OC43.S,0.030753678,0.828431719
a.IgA1.non.CoV.2.S.OC43.S.1,0.071644462,3.432097827
a.IgA1.non.CoV.2.S.HKU1.S,0.019438438,0.429506336
a.IgA1.non.CoV.2.S.HKU1.S1,0.012704809,0.320045476
a.IgA1.non.CoV.2.S.229E.S,-0.005527117,0.130022053
a.IgA1.non.CoV.2.S.229E.S1,0.025695322,0.618449988
a.IgA1.non.CoV.2.S.NL63,0.018563882,0.622481354
a.IgA1.non.CoV.2.HA.HA,-0.001056529,0.014226851
a.IgA1.non.CoV.2.gE.gE,0.016171028,0.256848532
a.IgA2.CoV.2.S.S,0.106605446,4.262973624
a.IgA2.CoV.2.S.S1,0.036116765,2.596345948
a.IgA2.CoV.2.S.RBD,0.026747324,1.805693366
a.IgA2.CoV.2.S.S2,0.039098013,0.997045104
a.IgA2.CoV.2.N.N,0.038112058,1.358871686
a.IgA2.CoV.2.FP.FP,0.023948781,0.833035181
a.IgA2.non.CoV.2.S.WIV1,0.087441847,2.434918856
a.IgA2.non.CoV.2.S.SARS.CoV.1,0.008120395,0.881310234
a.IgA2.non.CoV.2.S.MERS.S,0.012833054,1.49214667
a.IgA2.non.CoV.2.S.MERS.S1,0.005120391,0.762649447
a.IgA2.non.CoV.2.S.OC43.S,0.022693249,0.603508591
a.IgA2.non.CoV.2.S.OC43.S.1,0.071830709,2.130991905
a.IgA2.non.CoV.2.S.HKU1.S,0.009441785,0.541412548
a.IgA2.non.CoV.2.S.HKU1.S1,0.002518674,0.378934888
a.IgA2.non.CoV.2.S.229E.S,-0.014178261,0.264532594
a.IgA2.non.CoV.2.S.229E.S1,0.009989968,0.907862578
a.IgA2.non.CoV.2.S.NL63,0.007168672,0.986844458
a.IgA2.non.CoV.2.HA.HA,-0.003362011,0.351096193
a.IgA2.non.CoV.2.gE.gE,-0.00047446,0.028052873
a.IgD.CoV.2.S.S,0.009799349,2.527746665
a.IgD.CoV.2.S.S1,0.00648533,0.880841324
a.IgD.CoV.2.S.RBD,0.000268122,0.017439365
a.IgD.CoV.2.S.S2,0.006587539,1.122585767
a.IgD.CoV.2.N.N,-0.014013065,1.859605699
a.IgD.CoV.2.FP.FP,0.011928716,1.648860324
a.IgD.non.CoV.2.S.WIV1,0.005803906,0.67620399
a.IgD.non.CoV.2.S.SARS.CoV.1,0.004215402,0.621271575
a.IgD.non.CoV.2.S.MERS.S,0.00131411,0.19127231
a.IgD.non.CoV.2.S.MERS.S1,-0.003936097,0.518502434
a.IgD.non.CoV.2.S.OC43.S,0.020725787,0.623397699
a.IgD.non.CoV.2.S.OC43.S.1,0.020323992,0.891434522
a.IgD.non.CoV.2.S.HKU1.S,0.010263405,1.676235628
a.IgD.non.CoV.2.S.HKU1.S1,0.002518102,0.263126355
a.IgD.non.CoV.2.S.229E.S,0.006572867,1.111447634
a.IgD.non.CoV.2.S.229E.S1,0.008024319,0.509407742
a.IgD.non.CoV.2.S.NL63,-0.001891122,0.201299116
a.IgD.non.CoV.2.HA.HA,-0.002096006,0.138187374
a.IgD.non.CoV.2.gE.gE,0.004459708,0.260136343
a.IgM.CoV.2.S.S,0.195043624,8.932014494
a.IgM.CoV.2.S.S1,0.194287712,8.333291936
a.IgM.CoV.2.S.RBD,0.149464239,7.436235371
a.IgM.CoV.2.S.S2,0.091753459,5.806155608
a.IgM.CoV.2.N.N,0.025108431,0.694158093
a.IgM.CoV.2.FP.FP,-0.00907756,0.221581746
a.IgM.non.CoV.2.S.WIV1,0.133478282,6.040383364
a.IgM.non.CoV.2.S.SARS.CoV.1,0.011903575,0.256739894
a.IgM.non.CoV.2.S.MERS.S,0.007864288,0.304725165
a.IgM.non.CoV.2.S.MERS.S1,0.031482908,1.48854475
a.IgM.non.CoV.2.S.OC43.S,-0.008309088,0.117548202
a.IgM.non.CoV.2.S.OC43.S.1,0.020149259,0.622367359
a.IgM.non.CoV.2.S.HKU1.S,0.022789017,1.045804867
a.IgM.non.CoV.2.S.HKU1.S1,-0.009184208,0.310469057
a.IgM.non.CoV.2.S.229E.S,-0.014606384,0.541742212
a.IgM.non.CoV.2.S.229E.S1,0.008995298,0.2822286
a.IgM.non.CoV.2.S.NL63,-0.00773538,0.603365896
