,FC,p value
a.IgG.CoV.2.S.S,-0.086009273,1.577348651
a.IgG.CoV.2.S.S1,-0.068950168,2.046489087
a.IgG.CoV.2.S.RBD,-0.06934682,1.990482334
a.IgG.CoV.2.S.S2,-0.072229086,0.82023961
a.IgG.CoV.2.N.N,-0.003460461,0.044514179
a.IgG.CoV.2.FP.FP,0.035086378,0.34557267
a.IgG.non.CoV.2.S.WIV1,-0.089772607,0.819717818
a.IgG.non.CoV.2.S.SARS.CoV.1,-0.010067303,0.189295887
a.IgG.non.CoV.2.S.MERS.S,-0.072621096,0.750431519
a.IgG.non.CoV.2.S.MERS.S1,-0.015689217,0.703519158
a.IgG.non.CoV.2.S.OC43.S,-0.015262794,0.177296999
a.IgG.non.CoV.2.S.OC43.S.1,-0.032978096,0.470225283
a.IgG.non.CoV.2.S.HKU1.S,-0.039764105,0.406795988
a.IgG.non.CoV.2.S.HKU1.S1,0.012385083,0.13224085
a.IgG.non.CoV.2.S.229E.S,0.009377635,0.073768536
a.IgG.non.CoV.2.S.229E.S1,0.011502068,0.155444395
a.IgG.non.CoV.2.S.NL63,0.007225364,0.07435841
a.IgG.non.CoV.2.HA.HA,0.009059349,0.113702507
a.IgG.non.CoV.2.gE.gE,-0.017490009,0.111514357
a.IgA.CoV.2.S.S,0.021976474,0.239794108
a.IgA.CoV.2.S.S1,0.066218467,0.691353403
a.IgA.CoV.2.S.RBD,0.071940599,1.268213408
a.IgA.CoV.2.S.S2,-0.014639633,0.103513384
a.IgA.CoV.2.N.N,0.032817254,0.322248686
a.IgA.CoV.2.FP.FP,-0.006144917,0.038919858
a.IgA.non.CoV.2.S.WIV1,-0.013456922,0.143800769
a.IgA.non.CoV.2.S.SARS.CoV.1,0.055680918,0.747749553
a.IgA.non.CoV.2.S.MERS.S,-0.03374433,0.681227082
a.IgA.non.CoV.2.S.MERS.S1,0.021045529,0.265739697
a.IgA.non.CoV.2.S.OC43.S,0.008219179,0.109194271
a.IgA.non.CoV.2.S.OC43.S.1,0.002503595,0.038625592
a.IgA.non.CoV.2.S.HKU1.S,-0.013270085,0.155990052
a.IgA.non.CoV.2.S.HKU1.S1,-0.019195561,0.127583075
a.IgA.non.CoV.2.S.229E.S,0.041879351,0.515441331
a.IgA.non.CoV.2.S.229E.S1,0.05753296,0.491621571
a.IgA.non.CoV.2.S.NL63,-0.010438727,0.077786901
a.IgA.non.CoV.2.HA.HA,0.016604762,0.189980304
a.IgA.non.CoV.2.gE.gE,0.015313099,0.144186034
a.IgA1.CoV.2.S.S,0.026373017,0.27002359
a.IgA1.CoV.2.S.S1,0.061889677,0.67404252
a.IgA1.CoV.2.S.RBD,0.066979822,0.951435647
a.IgA1.CoV.2.S.S2,-0.019941199,0.139951147
a.IgA1.CoV.2.N.N,0.024350532,0.241548254
a.IgA1.CoV.2.FP.FP,-0.017611317,0.104284781
a.IgA1.non.CoV.2.S.WIV1,-0.016260488,0.168721561
a.IgA1.non.CoV.2.S.SARS.CoV.1,0.037036167,0.639927849
a.IgA1.non.CoV.2.S.MERS.S,-0.024503387,0.482302638
a.IgA1.non.CoV.2.S.MERS.S1,0.012511094,0.208397629
a.IgA1.non.CoV.2.S.OC43.S,0.000829725,0.007929294
a.IgA1.non.CoV.2.S.OC43.S.1,0.008686742,0.114574379
a.IgA1.non.CoV.2.S.HKU1.S,-0.016517831,0.166852365
a.IgA1.non.CoV.2.S.HKU1.S1,-0.028100174,0.209272605
a.IgA1.non.CoV.2.S.229E.S,0.062334232,0.668396948
a.IgA1.non.CoV.2.S.229E.S1,0.063824788,0.525979085
a.IgA1.non.CoV.2.S.NL63,-0.009969612,0.07461438
a.IgA1.non.CoV.2.HA.HA,0.015165746,0.422379194
a.IgA1.non.CoV.2.gE.gE,0.011704782,0.11648018
a.IgA2.CoV.2.S.S,0.055553882,0.480577097
a.IgA2.CoV.2.S.S1,0.057646244,0.838229281
a.IgA2.CoV.2.S.RBD,0.055212145,1.101841896
a.IgA2.CoV.2.S.S2,0.000625298,0.007287685
a.IgA2.CoV.2.N.N,0.044125504,0.578673273
a.IgA2.CoV.2.FP.FP,-0.067953105,0.460836208
a.IgA2.non.CoV.2.S.WIV1,0.028355752,0.267239108
a.IgA2.non.CoV.2.S.SARS.CoV.1,0.026832677,1.351309938
a.IgA2.non.CoV.2.S.MERS.S,-0.041048177,1.441303673
a.IgA2.non.CoV.2.S.MERS.S1,-4.09E-03,0.118868165
a.IgA2.non.CoV.2.S.OC43.S,-0.015221834,0.118895661
a.IgA2.non.CoV.2.S.OC43.S.1,0.003562151,0.025428004
a.IgA2.non.CoV.2.S.HKU1.S,-0.017458185,0.193131895
a.IgA2.non.CoV.2.S.HKU1.S1,-0.038644369,0.442553576
a.IgA2.non.CoV.2.S.229E.S,0.032131356,0.544091926
a.IgA2.non.CoV.2.S.229E.S1,0.054814549,0.463517467
a.IgA2.non.CoV.2.S.NL63,-0.000358749,0.006856781
a.IgA2.non.CoV.2.HA.HA,0.007638167,0.422229178
a.IgA2.non.CoV.2.gE.gE,0.016105476,0.454541784
a.IgD.CoV.2.S.S,0.002658665,0.247332791
a.IgD.CoV.2.S.S1,1.00E-03,0.028595711
a.IgD.CoV.2.S.RBD,-0.003329311,0.123177754
a.IgD.CoV.2.S.S2,-0.00387508,0.754940796
a.IgD.CoV.2.N.N,0.007107362,0.122579735
a.IgD.CoV.2.FP.FP,0.006921686,0.365507323
a.IgD.non.CoV.2.S.WIV1,4.64E-03,0.163566608
a.IgD.non.CoV.2.S.SARS.CoV.1,-0.004017061,0.186833329
a.IgD.non.CoV.2.S.MERS.S,-0.007750385,2.138569899
a.IgD.non.CoV.2.S.MERS.S1,-0.000856736,0.081622088
a.IgD.non.CoV.2.S.OC43.S,0.008481306,0.617509207
a.IgD.non.CoV.2.S.OC43.S.1,-0.005378977,0.286879872
a.IgD.non.CoV.2.S.HKU1.S,-0.007396209,0.596590277
a.IgD.non.CoV.2.S.HKU1.S1,-0.011700579,0.540655725
a.IgD.non.CoV.2.S.229E.S,-0.007299732,0.287142402
a.IgD.non.CoV.2.S.229E.S1,0.001198152,0.130880714
a.IgD.non.CoV.2.S.NL63,-0.000193652,0.013607332
a.IgD.non.CoV.2.HA.HA,-0.000303168,0.020300268
a.IgD.non.CoV.2.gE.gE,0.011343128,1.317138125
a.IgM.CoV.2.S.S,-0.017857376,0.092377098
a.IgM.CoV.2.S.S1,-0.027184224,0.138627848
a.IgM.CoV.2.S.RBD,-0.029547751,0.142713944
a.IgM.CoV.2.S.S2,-0.019637552,0.189902763
a.IgM.CoV.2.N.N,0.011371791,0.135702351
a.IgM.CoV.2.FP.FP,0.001862895,0.020761919
a.IgM.non.CoV.2.S.WIV1,-0.026297515,0.189120299
a.IgM.non.CoV.2.S.SARS.CoV.1,0.026518963,0.75926015
a.IgM.non.CoV.2.S.MERS.S,-0.03243754,0.522472849
a.IgM.non.CoV.2.S.MERS.S1,-0.009660797,0.559702824
a.IgM.non.CoV.2.S.OC43.S,-0.004020746,0.109380392
a.IgM.non.CoV.2.S.OC43.S.1,0.000721913,0.005374057
a.IgM.non.CoV.2.S.HKU1.S,-0.008194198,0.202265028
a.IgM.non.CoV.2.S.HKU1.S1,-0.00119992,0.119491465
a.IgM.non.CoV.2.S.229E.S,-0.016789206,0.11227037
a.IgM.non.CoV.2.S.229E.S1,-0.007525996,0.943237568
a.IgM.non.CoV.2.S.NL63,-0.007756224,0.184594144
a.IgM.non.CoV.2.HA.HA,-0.006923544,0.37971451
a.IgM.non.CoV.2.gE.gE,-0.009011316,0.235948477
a.IgG1.CoV.2.S.S,-0.156224709,2.586808982
a.IgG1.CoV.2.S.S1,-0.115873255,0.925154099
a.IgG1.CoV.2.S.RBD,-0.097265441,0.914074081
a.IgG1.CoV.2.S.S2,-0.062292433,0.674983932
a.IgG1.CoV.2.N.N,-0.054860706,0.388236002
a.IgG1.CoV.2.FP.FP,-0.015138339,0.099168668
a.IgG1.non.CoV.2.S.WIV1,-0.145695019,1.221226054
a.IgG1.non.CoV.2.S.SARS.CoV.1,-0.008238457,0.564422218
a.IgG1.non.CoV.2.S.MERS.S,-0.017726002,0.53997348
a.IgG1.non.CoV.2.S.MERS.S1,-0.001353801,0.060791039
a.IgG1.non.CoV.2.S.OC43.S,-5.39E-02,3.72E-01
a.IgG1.non.CoV.2.S.OC43.S.1,-0.110328307,0.98693858
a.IgG1.non.CoV.2.S.HKU1.S,-0.046078726,0.370417943
a.IgG1.non.CoV.2.S.HKU1.S1,-0.018506655,0.185924011
a.IgG1.non.CoV.2.S.229E.S,-0.042451846,0.707418587
a.IgG1.non.CoV.2.S.229E.S1,-0.018729317,0.169457816
a.IgG1.non.CoV.2.S.NL63,-0.011405493,0.114639383
a.IgG1.non.CoV.2.HA.HA,0.007196574,0.165533746
a.IgG1.non.CoV.2.gE.gE,-0.078298543,0.55185179
a.IgG2.CoV.2.S.S,0.006085929,0.153227181
a.IgG2.CoV.2.S.S1,0.010505275,0.252137664
a.IgG2.CoV.2.S.RBD,0.009005618,0.810178149
a.IgG2.CoV.2.S.S2,0.000306775,0.016719391
a.IgG2.CoV.2.N.N,0.008803638,0.485762195
a.IgG2.CoV.2.FP.FP,-0.020398312,0.433293427
a.IgG2.non.CoV.2.S.WIV1,-0.004095562,0.113754066
a.IgG2.non.CoV.2.S.SARS.CoV.1,-0.003408184,0.095262706
a.IgG2.non.CoV.2.S.MERS.S,0.000331623,0.013918484
a.IgG2.non.CoV.2.S.MERS.S1,-0.011314137,0.616293836
a.IgG2.non.CoV.2.S.OC43.S,-0.000465443,0.010136249
a.IgG2.non.CoV.2.S.OC43.S.1,-0.005497282,0.097296682
a.IgG2.non.CoV.2.S.HKU1.S,-0.004138573,0.129379687
a.IgG2.non.CoV.2.S.HKU1.S1,-0.007445309,0.397988766
a.IgG2.non.CoV.2.S.229E.S,-0.007481421,0.03909315
a.IgG2.non.CoV.2.S.229E.S1,0.014602996,0.600409797
a.IgG2.non.CoV.2.S.NL63,0.003372225,0.158520119
a.IgG2.non.CoV.2.HA.HA,0.016868665,1.114721949
a.IgG2.non.CoV.2.gE.gE,0.004197046,0.469357612
a.IgG3.CoV.2.S.S,-0.088452065,0.504214922
a.IgG3.CoV.2.S.S1,-0.005427426,0.181759346
a.IgG3.CoV.2.S.RBD,-0.00209015,0.147725484
a.IgG3.CoV.2.S.S2,-0.044038549,0.340906853
a.IgG3.CoV.2.N.N,0.012852757,0.444768023
a.IgG3.CoV.2.FP.FP,0.036635346,0.929127477
a.IgG3.non.CoV.2.S.WIV1,-0.095532156,0.497103305
a.IgG3.non.CoV.2.S.SARS.CoV.1,-0.003808006,0.198413546
a.IgG3.non.CoV.2.S.MERS.S,-0.040294008,0.394984186
a.IgG3.non.CoV.2.S.MERS.S1,-0.006027011,0.445205799
a.IgG3.non.CoV.2.S.OC43.S,-0.035115539,0.48874672
a.IgG3.non.CoV.2.S.OC43.S.1,-0.028287297,0.150373227
a.IgG3.non.CoV.2.S.HKU1.S,-0.031715762,0.432912245
a.IgG3.non.CoV.2.S.HKU1.S1,0.004450997,0.33786029
a.IgG3.non.CoV.2.S.229E.S,0.007097525,0.462100843
a.IgG3.non.CoV.2.S.229E.S1,0.000163622,0.01043467
a.IgG3.non.CoV.2.S.NL63,-0.007701145,1.016643168
a.IgG3.non.CoV.2.HA.HA,0.004671333,0.315834025
a.IgG3.non.CoV.2.gE.gE,0.00429144,0.514474138
a.IgG4.CoV.2.S.S,0.007843837,0.407669592
a.IgG4.CoV.2.S.S1,-0.01291713,0.986453136
a.IgG4.CoV.2.S.RBD,-0.008290316,0.466272973
a.IgG4.CoV.2.S.S2,-0.004457148,0.326875453
a.IgG4.CoV.2.N.N,0.004215648,0.413573833
a.IgG4.CoV.2.FP.FP,-0.002488084,0.055141745
a.IgG4.non.CoV.2.S.WIV1,-0.011499008,1.618485368
a.IgG4.non.CoV.2.S.SARS.CoV.1,-0.003544721,0.179451912
a.IgG4.non.CoV.2.S.MERS.S,-0.000541051,0.055017919
a.IgG4.non.CoV.2.S.MERS.S1,0.003210018,0.404623753
a.IgG4.non.CoV.2.S.OC43.S,0.001977612,0.072379979
a.IgG4.non.CoV.2.S.OC43.S.1,-0.005598041,0.330385207
a.IgG4.non.CoV.2.S.HKU1.S,0.004054737,0.287743463
a.IgG4.non.CoV.2.S.HKU1.S1,0.004392936,0.392328367
a.IgG4.non.CoV.2.S.229E.S,-0.00180327,0.169875358
a.IgG4.non.CoV.2.S.229E.S1,0.003667938,0.273339377
a.IgG4.non.CoV.2.S.NL63,-0.000819725,0.033747271
a.IgG4.non.CoV.2.HA.HA,-0.004583632,0.4031864
a.IgG4.non.CoV.2.gE.gE,-0.002269118,0.119192429
FcgR2AR.CoV.2.S.S,-0.187537426,2.211758212
FcgR2AR.CoV.2.S.S1,-0.092559803,0.777863222
FcgR2AR.CoV.2.S.RBD,-0.04484032,0.705609603
FcgR2AR.CoV.2.S.S2,-0.125705962,0.626346577
FcgR2AR.CoV.2.N.N,-0.008652073,0.059841705
FcgR2AR.CoV.2.FP.FP,0.027974036,0.456977217
FcgR2AR.non.CoV.2.S.WIV1,-0.199091957,0.878298165
FcgR2AR.non.CoV.2.S.SARS.CoV.1,-0.027444747,0.724347264
FcgR2AR.non.CoV.2.S.MERS.S,-0.072420904,0.429612085
FcgR2AR.non.CoV.2.S.MERS.S1,-0.006095649,0.266954519
FcgR2AR.non.CoV.2.S.OC43.S,-0.102028864,0.605411641
FcgR2AR.non.CoV.2.S.OC43.S.1,-0.104746713,0.653376539
FcgR2AR.non.CoV.2.S.HKU1.S,-0.080527938,0.59245195
FcgR2AR.non.CoV.2.S.HKU1.S1,0.01707038,0.287741569
FcgR2AR.non.CoV.2.S.229E.S,-0.006089657,0.022019019
FcgR2AR.non.CoV.2.S.229E.S1,0.012419197,0.804533129
FcgR2AR.non.CoV.2.S.NL63,-0.007169183,0.48888202
FcgR2AR.non.CoV.2.HA.HA,-0.009671635,0.387997832
FcgR2AR.non.CoV.2.gE.gE,-0.002024335,0.008175175
FcgR2B.CoV.2.S.S,-0.220861133,1.171509855
FcgR2B.CoV.2.S.S1,-0.009986562,0.096795151
FcgR2B.CoV.2.S.RBD,-0.030513796,0.930622425
FcgR2B.CoV.2.S.S2,-0.06384083,0.451904248
FcgR2B.CoV.2.N.N,-0.00320233,0.01640825
FcgR2B.CoV.2.FP.FP,0.019953076,0.37022269
FcgR2B.non.CoV.2.S.WIV1,-0.204750647,0.686827876
FcgR2B.non.CoV.2.S.SARS.CoV.1,-0.001066729,0.062266384
FcgR2B.non.CoV.2.S.MERS.S,-0.035070257,0.516333029
FcgR2B.non.CoV.2.S.MERS.S1,-0.008803876,0.772843032
FcgR2B.non.CoV.2.S.OC43.S,-0.069467877,0.472841975
FcgR2B.non.CoV.2.S.OC43.S.1,-0.177692976,0.90398138
FcgR2B.non.CoV.2.S.HKU1.S,-0.01419391,0.317637694
FcgR2B.non.CoV.2.S.HKU1.S1,0.008243359,0.428297892
FcgR2B.non.CoV.2.S.229E.S,-0.066820384,0.327265509
FcgR2B.non.CoV.2.S.229E.S1,-6.61585E-05,0.00356955
FcgR2B.non.CoV.2.S.NL63,-0.009353971,0.444883564
FcgR2B.non.CoV.2.HA.HA,-0.000748332,0.022298056
FcgR2B.non.CoV.2.gE.gE,0.007253628,0.059950824
FcgR3AV.CoV.2.S.S,-0.194705829,2.385314487
FcgR3AV.CoV.2.S.S1,-0.099173322,0.946377455
FcgR3AV.CoV.2.S.RBD,-0.033590813,0.518777326
FcgR3AV.CoV.2.S.S2,-0.116584905,0.542326442
FcgR3AV.CoV.2.N.N,-0.007096487,0.039406048
FcgR3AV.CoV.2.FP.FP,0.044109656,0.675540874
FcgR3AV.non.CoV.2.S.WIV1,-0.197528716,0.870128098
FcgR3AV.non.CoV.2.S.SARS.CoV.1,0.001328001,0.135778232
FcgR3AV.non.CoV.2.S.MERS.S,-0.07653477,0.457848496
FcgR3AV.non.CoV.2.S.MERS.S1,0.010309384,2.537957638
FcgR3AV.non.CoV.2.S.OC43.S,-0.090166288,0.584328299
FcgR3AV.non.CoV.2.S.OC43.S.1,-0.130712624,0.876914043
FcgR3AV.non.CoV.2.S.HKU1.S,-0.067015248,0.49289307
FcgR3AV.non.CoV.2.S.HKU1.S1,0.013663173,0.235637931
FcgR3AV.non.CoV.2.S.229E.S,-0.012011863,0.217676013
FcgR3AV.non.CoV.2.S.229E.S1,0.001049395,0.046384568
FcgR3AV.non.CoV.2.S.NL63,-0.009355345,0.528133809
FcgR3AV.non.CoV.2.HA.HA,0.011071229,0.347840212
FcgR3AV.non.CoV.2.gE.gE,2.57922E-05,0.000106837
FcgR3BNA2.CoV.2.S.S,-0.21349089,1.127727399
FcgR3BNA2.CoV.2.S.S1,-0.008153214,0.336390033
