,FC,p value
a.IgG.CoV.2.S.S,-0.086316995,3.163314606
a.IgG.CoV.2.S.S1,-0.091382348,2.832778679
a.IgG.CoV.2.S.RBD,-0.095491692,2.813170045
a.IgG.CoV.2.S.S2,-0.089414595,2.570481201
a.IgG.CoV.2.N.N,-0.01980426,0.525256266
a.IgG.CoV.2.FP.FP,0.015933141,0.192721228
a.IgG.non.CoV.2.S.WIV1,-0.100483914,1.745287678
a.IgG.non.CoV.2.S.SARS.CoV.1,-0.030576688,0.814020078
a.IgG.non.CoV.2.S.MERS.S,-0.075248549,0.592432345
a.IgG.non.CoV.2.S.MERS.S1,-0.007141577,0.657668874
a.IgG.non.CoV.2.S.OC43.S,-0.030373664,1.517817666
a.IgG.non.CoV.2.S.OC43.S.1,-0.038873406,2.584707259
a.IgG.non.CoV.2.S.HKU1.S,-0.049802205,1.210249243
a.IgG.non.CoV.2.S.HKU1.S1,0.01902804,0.253454142
a.IgG.non.CoV.2.S.229E.S,-0.010364448,0.126931559
a.IgG.non.CoV.2.S.229E.S1,-0.005587185,0.277626718
a.IgG.non.CoV.2.S.NL63,0.006112667,0.164389731
a.IgG.non.CoV.2.HA.HA,-0.015197242,0.137526552
a.IgG.non.CoV.2.gE.gE,-0.05376794,0.33872703
a.IgA.CoV.2.S.S,-0.037330877,1.422523255
a.IgA.CoV.2.S.S1,-0.003520759,0.065668545
a.IgA.CoV.2.S.RBD,0.007631007,0.174696389
a.IgA.CoV.2.S.S2,-0.102952067,1.046831226
a.IgA.CoV.2.N.N,-0.047443567,0.654298618
a.IgA.CoV.2.FP.FP,-0.038422039,0.314698978
a.IgA.non.CoV.2.S.WIV1,-0.095531298,2.030389522
a.IgA.non.CoV.2.S.SARS.CoV.1,-0.009766909,0.090566955
a.IgA.non.CoV.2.S.MERS.S,-0.120770182,0.825186897
a.IgA.non.CoV.2.S.MERS.S1,-0.003288023,0.107514394
a.IgA.non.CoV.2.S.OC43.S,-0.029634015,0.636346976
a.IgA.non.CoV.2.S.OC43.S.1,-0.05319428,1.027153209
a.IgA.non.CoV.2.S.HKU1.S,-0.067127153,0.845387
a.IgA.non.CoV.2.S.HKU1.S1,-0.016160377,0.247695192
a.IgA.non.CoV.2.S.229E.S,-0.010350789,0.202798986
a.IgA.non.CoV.2.S.229E.S1,0.042978744,0.62708374
a.IgA.non.CoV.2.S.NL63,-0.010165037,0.136513912
a.IgA.non.CoV.2.HA.HA,0.038134309,0.377360857
a.IgA.non.CoV.2.gE.gE,-0.024391882,0.181035572
a.IgA1.CoV.2.S.S,-0.024828743,0.832431999
a.IgA1.CoV.2.S.S1,-0.00300615,0.046037399
a.IgA1.CoV.2.S.RBD,0.015126635,0.361205547
a.IgA1.CoV.2.S.S2,-0.104434101,0.882878161
a.IgA1.CoV.2.N.N,-0.05158228,0.588750416
a.IgA1.CoV.2.FP.FP,-0.047955651,0.383746434
a.IgA1.non.CoV.2.S.WIV1,-0.099002713,1.832069661
a.IgA1.non.CoV.2.S.SARS.CoV.1,-0.007295801,0.072264629
a.IgA1.non.CoV.2.S.MERS.S,-0.088506815,0.706766257
a.IgA1.non.CoV.2.S.MERS.S1,-0.003290655,0.177486619
a.IgA1.non.CoV.2.S.OC43.S,-0.036210555,0.688528096
a.IgA1.non.CoV.2.S.OC43.S.1,-0.057973746,0.904300546
a.IgA1.non.CoV.2.S.HKU1.S,-0.0699711,0.834223195
a.IgA1.non.CoV.2.S.HKU1.S1,-0.011540881,0.157476422
a.IgA1.non.CoV.2.S.229E.S,0.007361644,0.07883393
a.IgA1.non.CoV.2.S.229E.S1,0.042654001,0.59176363
a.IgA1.non.CoV.2.S.NL63,-0.009846395,0.124077714
a.IgA1.non.CoV.2.HA.HA,0.031216845,0.410985453
a.IgA1.non.CoV.2.gE.gE,-0.016705792,0.126124217
a.IgA2.CoV.2.S.S,0.02882917,0.485928342
a.IgA2.CoV.2.S.S1,0.02748828,1.181308367
a.IgA2.CoV.2.S.RBD,0.005988494,0.204315966
a.IgA2.CoV.2.S.S2,-0.088360128,0.35657613
a.IgA2.CoV.2.N.N,-0.047392784,0.298664659
a.IgA2.CoV.2.FP.FP,-0.058248203,0.402005019
a.IgA2.non.CoV.2.S.WIV1,-0.090795912,0.909300434
a.IgA2.non.CoV.2.S.SARS.CoV.1,-0.005187048,0.311174543
a.IgA2.non.CoV.2.S.MERS.S,0.0060764,0.367984548
a.IgA2.non.CoV.2.S.MERS.S1,-3.23E-05,0.00305056
a.IgA2.non.CoV.2.S.OC43.S,0.018114257,0.303300121
a.IgA2.non.CoV.2.S.OC43.S.1,-0.067915096,0.447583621
a.IgA2.non.CoV.2.S.HKU1.S,-0.001770487,0.024963109
a.IgA2.non.CoV.2.S.HKU1.S1,0.000407488,0.031902212
a.IgA2.non.CoV.2.S.229E.S,-0.008668701,0.059740168
a.IgA2.non.CoV.2.S.229E.S1,0.018142146,1.381865981
a.IgA2.non.CoV.2.S.NL63,-0.004666177,0.375615947
a.IgA2.non.CoV.2.HA.HA,-0.002641755,0.187628599
a.IgA2.non.CoV.2.gE.gE,-0.001277251,0.050936649
a.IgD.CoV.2.S.S,-0.006224066,0.560686766
a.IgD.CoV.2.S.S1,-3.45E-05,0.001394522
a.IgD.CoV.2.S.RBD,0.003468346,0.191605449
a.IgD.CoV.2.S.S2,0.004812868,0.425694737
a.IgD.CoV.2.N.N,0.00856634,1.30592404
a.IgD.CoV.2.FP.FP,-0.008327561,0.489553021
a.IgD.non.CoV.2.S.WIV1,2.76E-05,0.002103315
a.IgD.non.CoV.2.S.SARS.CoV.1,0.008093767,0.744254431
a.IgD.non.CoV.2.S.MERS.S,-0.006441003,0.440312499
a.IgD.non.CoV.2.S.MERS.S1,0.009045197,0.701196052
a.IgD.non.CoV.2.S.OC43.S,0.034390414,0.875241324
a.IgD.non.CoV.2.S.OC43.S.1,0.009080303,0.099765333
a.IgD.non.CoV.2.S.HKU1.S,0.000584292,0.02420195
a.IgD.non.CoV.2.S.HKU1.S1,0.014361936,1.032125737
a.IgD.non.CoV.2.S.229E.S,0.013255153,0.718384288
a.IgD.non.CoV.2.S.229E.S1,0.00524787,0.228156411
a.IgD.non.CoV.2.S.NL63,-0.000322247,0.025843944
a.IgD.non.CoV.2.HA.HA,0.001556025,0.051803036
a.IgD.non.CoV.2.gE.gE,0.006783785,0.718153976
