,FC,p value
a.IgG.CoV.2.S.S,0.040113036,0.535525451
a.IgG.CoV.2.S.S1,0.054404785,0.928469112
a.IgG.CoV.2.S.RBD,0.050319428,0.891493422
a.IgG.CoV.2.S.S2,0.012138752,0.137838223
a.IgG.CoV.2.N.N,0.019507186,0.255466125
a.IgG.CoV.2.FP.FP,0.012584782,0.1265446
a.IgG.non.CoV.2.S.WIV1,0.013907039,0.136291476
a.IgG.non.CoV.2.S.SARS.CoV.1,0.03456732,1.165527936
a.IgG.non.CoV.2.S.MERS.S,-0.017023288,0.267979724
a.IgG.non.CoV.2.S.MERS.S1,0.000437331,0.018994468
a.IgG.non.CoV.2.S.OC43.S,0.014641853,0.281763905
a.IgG.non.CoV.2.S.OC43.S.1,0.021738561,0.48107175
a.IgG.non.CoV.2.S.HKU1.S,0.007278086,0.119919368
a.IgG.non.CoV.2.S.HKU1.S1,0.019429537,0.270743472
a.IgG.non.CoV.2.S.229E.S,-0.016270949,0.296809832
a.IgG.non.CoV.2.S.229E.S1,-0.01243045,0.210643197
a.IgG.non.CoV.2.S.NL63,0.013838463,0.195987047
a.IgG.non.CoV.2.HA.HA,0.029098012,0.429642902
a.IgG.non.CoV.2.gE.gE,0.053266014,0.456879419
a.IgA.CoV.2.S.S,-0.007708754,0.104351605
a.IgA.CoV.2.S.S1,-0.006419592,0.064746342
a.IgA.CoV.2.S.RBD,-0.017921024,0.244705565
a.IgA.CoV.2.S.S2,0.005849404,0.067439594
a.IgA.CoV.2.N.N,-0.004037322,0.050885732
a.IgA.CoV.2.FP.FP,-0.015716597,0.264697333
a.IgA.non.CoV.2.S.WIV1,0.006886894,0.072312961
a.IgA.non.CoV.2.S.SARS.CoV.1,0.040970395,0.751755924
a.IgA.non.CoV.2.S.MERS.S,-0.009970866,0.212860247
a.IgA.non.CoV.2.S.MERS.S1,-0.000435946,0.007400074
a.IgA.non.CoV.2.S.OC43.S,-0.024800294,0.498466187
a.IgA.non.CoV.2.S.OC43.S.1,-0.016226178,0.473157154
a.IgA.non.CoV.2.S.HKU1.S,-0.04946814,1.164019358
a.IgA.non.CoV.2.S.HKU1.S1,-0.062552842,1.462532409
a.IgA.non.CoV.2.S.229E.S,-0.054089139,1.255612704
a.IgA.non.CoV.2.S.229E.S1,-0.087422104,2.139227936
a.IgA.non.CoV.2.S.NL63,-0.065324086,1.578052642
a.IgA.non.CoV.2.HA.HA,-0.00010675,0.001506672
a.IgA.non.CoV.2.gE.gE,0.028411054,0.543758696
a.IgA1.CoV.2.S.S,-0.004517422,0.04896753
a.IgA1.CoV.2.S.S1,-0.00189514,0.016543416
